date,rate,cpi,ppi,pcr,gdp,indp,tcu,unrate,cpieng
6/1/1993,3.03,,,,,,,,
13/1/1993,2.98,,,,,,,,
20/1/1993,3.1,,,,,,,,
27/1/1993,2.94,,,,,,,,
1/2/1993,,143.1,,,,64.929,81.698,7.1,104.3
3/2/1993,3.15,,,,,,,,
10/2/1993,2.92,,,,,,,,
17/2/1993,3.06,,,,,,,,
24/2/1993,2.91,,,,,,,,
1/3/1993,,143.3,,,,64.872,81.502,7,104.9
3/3/1993,3.24,,,,,,,,
10/3/1993,3.02,,,,,,,,
17/3/1993,3.04,,,,,,,,
24/3/1993,2.93,,,,,,,,
31/3/1993,3.18,,,,,,,,
1/4/1993,,143.8,,,10637.847,65.0611,81.6217,7.1,104.9
7/4/1993,3.11,,,,,,,,
14/4/1993,2.93,,,,,,,,
21/4/1993,2.91,,,,,,,,
28/4/1993,2.87,,,,,,,,
1/5/1993,,144.2,,,,64.8104,81.1916,7.1,104.3
5/5/1993,2.98,,,,,,,,
12/5/1993,2.9,,,,,,,,
19/5/1993,3.01,,,,,,,,
26/5/1993,3.07,,,,,,,,
1/6/1993,,144.3,,,,64.9553,81.2566,7,103.9
2/6/1993,3.09,,,,,,,,
9/6/1993,2.96,,,,,,,,
16/6/1993,3.01,,,,,,,,
23/6/1993,3,,,,,,,,
30/6/1993,3.13,,,,,,,,
1/7/1993,,144.5,,,10688.606,65.1198,81.3428,6.9,103.4
7/7/1993,3.1,,,,,,,,
14/7/1993,3.01,,,,,,,,
21/7/1993,3.09,,,,,,,,
28/7/1993,3.03,,,,,,,,
1/8/1993,,144.8,,,,65.0494,81.1291,6.8,103.4
4/8/1993,3.1,,,,,,,,
11/8/1993,2.98,,,,,,,,
18/8/1993,3.06,,,,,,,,
25/8/1993,2.98,,,,,,,,
1/9/1993,3.08,145,,,,65.3882,81.4164,6.7,103
8/9/1993,2.99,,,,,,,,
15/9/1993,3.03,,,,,,,,
22/9/1993,3.12,,,,,,,,
29/9/1993,3.05,,,,,,,,
1/10/1993,,145.6,,,10833.987,65.8702,81.8692,6.8,105.3
6/10/1993,3.24,,,,,,,,
13/10/1993,2.91,,,,,,,,
20/10/1993,2.97,,,,,,,,
27/10/1993,2.97,,,,,,,,
1/11/1993,,146,,,,66.1779,82.0917,6.6,104.4
3/11/1993,3.04,,,,,,,,
10/11/1993,2.96,,,,,,,,
17/11/1993,3.03,,,,,,,,
24/11/1993,2.98,,,,,,,,
1/12/1993,3.09,146.3,,,,66.5602,82.3931,6.5,103.7
8/12/1993,2.92,,,,,,,,
15/12/1993,2.94,,,,,,,,
22/12/1993,2.99,,,,,,,,
29/12/1993,2.99,,,,,,,,
1/1/1994,,146.3,,,10939.116,66.7722,82.4707,6.6,102.8
5/1/1994,3,,,,,,,,
12/1/1994,2.98,,,,,,,,
19/1/1994,3.13,,,,,,,,
26/1/1994,2.97,,,,,,,,
1/2/1994,,146.7,,,,66.8068,82.3162,6.6,104.1
2/2/1994,3.17,,,,,,,,
9/2/1994,3.2,,,,,,,,
16/2/1994,3.25,,,,,,,,
23/2/1994,3.25,,,,,,,,
1/3/1994,,147.1,,,,67.4832,82.9362,6.5,104.3
2/3/1994,3.28,,,,,,,,
9/3/1994,3.25,,,,,,,,
16/3/1994,3.19,,,,,,,,
23/3/1994,3.31,,,,,,,,
30/3/1994,3.49,,,,,,,,
1/4/1994,,147.2,,,11087.361,67.8771,83.194,6.4,103.7
6/4/1994,3.69,,,,,,,,
13/4/1994,3.37,,,,,,,,
20/4/1994,3.59,,,,,,,,
27/4/1994,3.59,,,,,,,,
1/5/1994,,147.5,,,,68.1961,83.3452,6.1,102.8
4/5/1994,3.76,,,,,,,,
11/5/1994,3.7,,,,,,,,
18/5/1994,4.02,,,,,,,,
25/5/1994,4.22,,,,,,,,
1/6/1994,4.27,147.9,,,,68.6526,83.6506,6.1,103.1
8/6/1994,4.13,,,,,,,,
15/6/1994,4.21,,,,,,,,
22/6/1994,4.19,,,,,,,,
29/6/1994,4.19,,,,,,,,
1/7/1994,,148.4,,,11152.176,68.7353,83.4915,6.1,104.5
6/7/1994,4.38,,,,,,,,
13/7/1994,4.3,,,,,,,,
20/7/1994,4.3,,,,,,,,
27/7/1994,4.28,,,,,,,,
1/8/1994,,149,,,,69.1954,83.7838,6,106.7
3/8/1994,4.28,,,,,,,,
10/8/1994,4.26,,,,,,,,
17/8/1994,4.35,,,,,,,,
24/8/1994,4.66,,,,,,,,
31/8/1994,4.72,,,,,,,,
1/9/1994,,149.3,,,,69.4017,83.7623,5.9,106.1
7/9/1994,4.74,,,,,,,,
14/9/1994,4.7,,,,,,,,
21/9/1994,4.73,,,,,,,,
28/9/1994,4.66,,,,,,,,
1/10/1994,,149.4,,,11279.932,69.969,84.1694,5.8,105.7
5/10/1994,5.07,,,,,,,,
12/10/1994,4.62,,,,,,,,
19/10/1994,4.72,,,,,,,,
26/10/1994,4.72,,,,,,,,
1/11/1994,,149.8,,,,70.4367,84.4489,5.6,106.1
2/11/1994,4.77,,,,,,,,
9/11/1994,4.74,,,,,,,,
16/11/1994,5.22,,,,,,,,
23/11/1994,5.53,,,,,,,,
30/11/1994,5.85,,,,,,,,
1/12/1994,,150.1,,,,71.1413,85.0057,5.5,105.9
7/12/1994,5.47,,,,,,,,
14/12/1994,5.48,,,,,,,,
21/12/1994,5.56,,,,,,,,
28/12/1994,5.45,,,,,,,,
1/1/1995,,150.5,,,11319.951,71.2762,84.8791,5.6,105.7
4/1/1995,5.4,,,,,,,,
11/1/1995,5.53,,,,,,,,
18/1/1995,5.45,,,,,,,,
25/1/1995,5.42,,,,,,,,
1/2/1995,5.63,150.9,,,,71.1904,84.4876,5.4,105.8
8/2/1995,5.95,,,,,,,,
15/2/1995,5.93,,,,,,,,
22/2/1995,5.94,,,,,,,,
1/3/1995,5.88,151.2,,,,71.2891,84.3121,5.4,105.5
8/3/1995,5.93,,,,,,,,
15/3/1995,5.94,,,,,,,,
22/3/1995,5.97,,,,,,,,
29/3/1995,6.06,,,,,,,,
1/4/1995,,151.8,,,11353.721,71.1623,83.869,5.8,105.6
5/4/1995,6.2,,,,,,,,
12/4/1995,5.98,,,,,,,,
19/4/1995,6.07,,,,,,,,
26/4/1995,5.99,,,,,,,,
1/5/1995,,152.1,,,,71.5044,83.9723,5.6,105.8
3/5/1995,6.05,,,,,,,,
10/5/1995,6,,,,,,,,
17/5/1995,6.02,,,,,,,,
24/5/1995,5.99,,,,,,,,
31/5/1995,6.02,,,,,,,,
1/6/1995,,152.4,,,,71.743,83.9443,5.6,106.7
7/6/1995,6.03,,,,,,,,
14/6/1995,6.02,,,,,,,,
21/6/1995,6,,,,,,,,
28/6/1995,5.95,,,,,,,,
1/7/1995,,152.6,,,11450.31,71.4459,83.2835,5.7,105.8
5/7/1995,6.21,,,,,,,,
12/7/1995,5.81,,,,,,,,
19/7/1995,5.72,,,,,,,,
26/7/1995,5.75,,,,,,,,
1/8/1995,,152.9,,,,72.38,84.0464,5.7,105.6
2/8/1995,5.83,,,,,,,,
9/8/1995,5.73,,,,,,,,
16/8/1995,5.74,,,,,,,,
23/8/1995,5.7,,,,,,,,
30/8/1995,5.71,,,,,,,,
1/9/1995,,153.1,,,,72.6601,84.0356,5.6,104.1
6/9/1995,5.77,,,,,,,,
13/9/1995,5.73,,,,,,,,
20/9/1995,5.78,,,,,,,,
27/9/1995,5.8,,,,,,,,
1/10/1995,,153.5,,,11528.067,72.5428,83.5543,5.5,104.4
4/10/1995,6,,,,,,,,
11/10/1995,5.72,,,,,,,,
18/10/1995,5.71,,,,,,,,
25/10/1995,5.76,,,,,,,,
1/11/1995,5.76,153.7,,,,72.7178,83.4004,5.6,103.4
8/11/1995,5.71,,,,,,,,
15/11/1995,5.74,,,,,,,,
22/11/1995,5.81,,,,,,,,
29/11/1995,5.91,,,,,,,,
1/12/1995,,153.9,,,,72.9672,83.3221,5.6,104.4
6/12/1995,5.75,,,,,,,,
13/12/1995,5.73,,,,,,,,
20/12/1995,5.9,,,,,,,,
27/12/1995,5.48,,,,,,,,
1/1/1996,,154.7,,,11614.418,72.5866,82.5181,5.6,106.9
3/1/1996,5.35,,,,,,,,
10/1/1996,5.53,,,,,,,,
17/1/1996,5.61,,,,,,,,
24/1/1996,5.44,,,,,,,,
31/1/1996,5.53,,,,,,,,
1/2/1996,,155,,,,73.6389,83.3398,5.5,107.1
7/2/1996,5.21,,,,,,,,
14/2/1996,5.09,,,,,,,,
21/2/1996,5.17,,,,,,,,
28/2/1996,5.31,,,,,,,,
1/3/1996,,155.5,,,,73.5202,82.8259,5.5,108.3
6/3/1996,5.57,,,,,,,,
13/3/1996,5.24,,,,,,,,
20/3/1996,5.36,,,,,,,,
27/3/1996,5.22,,,,,,,,
1/4/1996,,156.1,,,11808.14,74.2664,83.2807,5.6,111.2
3/4/1996,5.3,,,,,,,,
10/4/1996,5.08,,,,,,,,
17/4/1996,5.24,,,,,,,,
24/4/1996,5.24,,,,,,,,
1/5/1996,5.3,156.4,,,,74.8145,83.5058,5.6,112
8/5/1996,5.22,,,,,,,,
15/5/1996,5.26,,,,,,,,
22/5/1996,5.22,,,,,,,,
29/5/1996,5.19,,,,,,,,
1/6/1996,,156.7,,,,75.3779,83.7438,5.3,110.3
5/6/1996,5.33,,,,,,,,
12/6/1996,5.24,,,,,,,,
19/6/1996,5.45,,,,,,,,
26/6/1996,5.21,,,,,,,,
1/7/1996,,157,,,11914.063,75.3754,83.3555,5.5,110.1
3/7/1996,5.53,,,,,,,,
10/7/1996,5.26,,,,,,,,
17/7/1996,5.23,,,,,,,,
24/7/1996,5.25,,,,,,,,
31/7/1996,5.53,,,,,,,,
1/8/1996,,157.2,,,,75.7568,83.3919,5.1,109.7
7/8/1996,5.38,,,,,,,,
14/8/1996,5.1,,,,,,,,
21/8/1996,5.18,,,,,,,,
28/8/1996,5.21,,,,,,,,
1/9/1996,,157.7,,,,76.2304,83.5254,5.2,109.8
4/9/1996,5.39,,,,,,,,
11/9/1996,5.16,,,,,,,,
18/9/1996,5.22,,,,,,,,
25/9/1996,5.34,,,,,,,,
1/10/1996,,158.2,,,12037.775,76.2193,83.1236,5.2,110.5
2/10/1996,5.4,,,,,,,,
9/10/1996,5.14,,,,,,,,
16/10/1996,5.22,,,,,,,,
23/10/1996,5.22,,,,,,,,
30/10/1996,5.27,,,,,,,,
1/11/1996,,158.7,,,,76.8941,83.4621,5.4,111.8
6/11/1996,5.32,,,,,,,,
13/11/1996,5.21,,,,,,,,
20/11/1996,5.41,,,,,,,,
27/11/1996,5.3,,,,,,,,
1/12/1996,,159.1,,,,77.3731,83.5793,5.4,113.9
4/12/1996,5.52,,,,,,,,
11/12/1996,5.22,,,,,,,,
18/12/1996,5.38,,,,,,,,
25/12/1996,5.18,,,,,,,,
1/1/1997,5.37,159.4,,,12115.472,77.5138,83.3331,5.3,115.2
8/1/1997,5.28,,,,,,,,
15/1/1997,5.19,,,,,,,,
22/1/1997,5.19,,,,,,,,
29/1/1997,5.18,,,,,,,,
1/2/1997,,159.7,,,,78.4246,83.9,5.2,115
5/2/1997,5.3,,,,,,,,
12/2/1997,5.05,,,,,,,,
19/2/1997,5.22,,,,,,,,
26/2/1997,5.16,,,,,,,,
1/3/1997,,159.8,,,,78.9266,84.0169,5.2,113
5/3/1997,5.36,,,,,,,,
12/3/1997,5.19,,,,,,,,
19/3/1997,5.26,,,,,,,,
26/3/1997,5.4,,,,,,,,
1/4/1997,,159.9,,,12317.221,78.9924,83.6618,5.1,111
2/4/1997,5.86,,,,,,,,
9/4/1997,5.37,,,,,,,,
16/4/1997,5.48,,,,,,,,
23/4/1997,5.48,,,,,,,,
30/4/1997,5.61,,,,,,,,
1/5/1997,,159.9,,,,79.4411,83.6984,4.9,108.8
7/5/1997,5.55,,,,,,,,
14/5/1997,5.49,,,,,,,,
21/5/1997,5.52,,,,,,,,
28/5/1997,5.43,,,,,,,,
1/6/1997,,160.2,,,,79.8048,83.6264,5,110
4/6/1997,5.54,,,,,,,,
11/6/1997,5.48,,,,,,,,
18/6/1997,5.62,,,,,,,,
25/6/1997,5.42,,,,,,,,
1/7/1997,,160.4,,,12471.01,80.48,83.8625,4.9,109.1
2/7/1997,5.82,,,,,,,,
9/7/1997,5.48,,,,,,,,
16/7/1997,5.44,,,,,,,,
23/7/1997,5.43,,,,,,,,
30/7/1997,5.57,,,,,,,,
1/8/1997,,160.8,,,,81.2862,84.2102,4.8,110.9
6/8/1997,5.62,,,,,,,,
13/8/1997,5.45,,,,,,,,
20/8/1997,5.59,,,,,,,,
27/8/1997,5.56,,,,,,,,
1/9/1997,,161.2,,,,82.038,84.4781,4.9,112.4
3/9/1997,5.64,,,,,,,,
10/9/1997,5.48,,,,,,,,
17/9/1997,5.58,,,,,,,,
24/9/1997,5.45,,,,,,,,
1/10/1997,5.58,161.5,,,12577.495,82.7657,84.6988,4.7,111.8
8/10/1997,5.46,,,,,,,,
15/10/1997,5.45,,,,,,,,
22/10/1997,5.54,,,,,,,,
29/10/1997,5.5,,,,,,,,
1/11/1997,,161.7,,,,83.4321,84.838,4.6,111.4
5/11/1997,5.6,,,,,,,,
12/11/1997,5.5,,,,,,,,
19/11/1997,5.51,,,,,,,,
26/11/1997,5.49,,,,,,,,
1/12/1997,,161.8,,,,83.7826,84.6461,4.7,109.8
3/12/1997,5.58,,,,,,,,
10/12/1997,5.4,,,,,,,,
17/12/1997,5.66,,,,,,,,
24/12/1997,5.44,,,,,,,,
31/12/1997,5.45,,,,,,,,
1/1/1998,,162,,,12703.742,84.1656,84.4813,4.6,107.5
7/1/1998,5.74,,,,,,,,
14/1/1998,5.45,,,,,,,,
21/1/1998,5.53,,,,,,,,
28/1/1998,5.53,,,,,,,,
1/2/1998,,162,,,,84.3048,84.0729,4.6,105.1
4/2/1998,5.52,,,,,,,,
11/2/1998,5.43,,,,,,,,
18/2/1998,5.54,,,,,,,,
25/2/1998,5.51,,,,,,,,
1/3/1998,,162,,,,84.3416,83.5673,4.7,103.3
4/3/1998,5.6,,,,,,,,
11/3/1998,5.45,,,,,,,,
18/3/1998,5.47,,,,,,,,
25/3/1998,5.43,,,,,,,,
1/4/1998,5.6,162.2,,,12821.339,84.6263,83.3178,4.3,102.4
8/4/1998,5.48,,,,,,,,
15/4/1998,5.47,,,,,,,,
22/4/1998,5.37,,,,,,,,
29/4/1998,5.4,,,,,,,,
1/5/1998,,162.6,,,,85.1839,83.3489,4.4,103.2
6/5/1998,5.35,,,,,,,,
13/5/1998,5.49,,,,,,,,
20/5/1998,5.6,,,,,,,,
27/5/1998,5.45,,,,,,,,
1/6/1998,,162.8,,,,84.6809,82.3651,4.5,103.6
3/6/1998,5.63,,,,,,,,
10/6/1998,5.43,,,,,,,,
17/6/1998,5.58,,,,,,,,
24/6/1998,5.42,,,,,,,,
1/7/1998,5.88,163.2,,,12982.752,84.3448,81.5837,4.5,103.3
8/7/1998,5.47,,,,,,,,
15/7/1998,5.49,,,,,,,,
22/7/1998,5.5,,,,,,,,
29/7/1998,5.54,,,,,,,,
1/8/1998,,163.4,,,,86.0846,82.8278,4.5,102.1
5/8/1998,5.61,,,,,,,,
12/8/1998,5.5,,,,,,,,
19/8/1998,5.59,,,,,,,,
26/8/1998,5.48,,,,,,,,
1/9/1998,,163.5,,,,85.9945,82.3242,4.6,101.3
2/9/1998,5.61,,,,,,,,
9/9/1998,5.47,,,,,,,,
16/9/1998,5.54,,,,,,,,
23/9/1998,5.42,,,,,,,,
30/9/1998,5.58,,,,,,,,
1/10/1998,,163.9,,,13191.67,86.5967,82.4996,4.5,101.5
7/10/1998,5.22,,,,,,,,
14/10/1998,5.14,,,,,,,,
21/10/1998,4.87,,,,,,,,
28/10/1998,4.95,,,,,,,,
1/11/1998,,164.1,,,,86.5114,82.0316,4.4,101.1
4/11/1998,5.22,,,,,,,,
11/11/1998,4.8,,,,,,,,
18/11/1998,4.89,,,,,,,,
25/11/1998,4.54,,,,,,,,
1/12/1998,,164.4,,,,86.8608,81.9904,4.4,100.1
2/12/1998,4.86,,,,,,,,
9/12/1998,4.68,,,,,,,,
16/12/1998,4.97,,,,,,,,
23/12/1998,4.69,,,,,,,,
30/12/1998,4.48,,,,,,,,
1/1/1999,,164.7,,,13315.597,87.2277,81.9774,4.3,99.7
6/1/1999,4.3,,,,,,,,
13/1/1999,4.75,,,,,,,,
20/1/1999,4.64,,,,,,,,
27/1/1999,4.66,,,,,,,,
1/2/1999,,164.7,,,,87.7266,82.0973,4.4,99.2
3/2/1999,4.75,,,,,,,,
10/2/1999,4.77,,,,,,,,
17/2/1999,4.75,,,,,,,,
24/2/1999,4.75,,,,,,,,
1/3/1999,,164.8,,,,87.9203,81.9427,4.2,100.4
3/3/1999,4.85,,,,,,,,
10/3/1999,4.8,,,,,,,,
17/3/1999,4.79,,,,,,,,
24/3/1999,4.79,,,,,,,,
31/3/1999,4.84,,,,,,,,
1/4/1999,,165.9,,,13426.748,88.1153,81.8019,4.3,105.5
7/4/1999,4.8,,,,,,,,
14/4/1999,4.68,,,,,,,,
21/4/1999,4.61,,,,,,,,
28/4/1999,4.79,,,,,,,,
1/5/1999,,166,,,,88.6554,81.9895,4.2,104.9
5/5/1999,4.9,,,,,,,,
12/5/1999,4.7,,,,,,,,
19/5/1999,4.76,,,,,,,,
26/5/1999,4.73,,,,,,,,
1/6/1999,,166,,,,88.5958,81.6291,4.3,104.5
2/6/1999,4.65,,,,,,,,
9/6/1999,4.71,,,,,,,,
16/6/1999,4.73,,,,,,,,
23/6/1999,4.71,,,,,,,,
30/6/1999,4.95,,,,,,,,
1/7/1999,,166.7,,,13604.771,89.1235,81.8177,4.3,106.7
7/7/1999,5,,,,,,,,
14/7/1999,4.97,,,,,,,,
21/7/1999,4.96,,,,,,,,
28/7/1999,5.01,,,,,,,,
1/8/1999,,167.1,,,,89.5116,81.8764,4.2,109.5
4/8/1999,5.06,,,,,,,,
11/8/1999,4.96,,,,,,,,
18/8/1999,5.03,,,,,,,,
25/8/1999,5.02,,,,,,,,
1/9/1999,5.34,167.8,,,,89.1361,81.2413,4.2,111.8
8/9/1999,5.16,,,,,,,,
15/9/1999,5.24,,,,,,,,
22/9/1999,5.16,,,,,,,,
29/9/1999,5.27,,,,,,,,
1/10/1999,,168.1,,,13827.98,90.2842,81.9959,4.1,112
6/10/1999,5.27,,,,,,,,
13/10/1999,5.17,,,,,,,,
20/10/1999,5.18,,,,,,,,
27/10/1999,5.18,,,,,,,,
1/11/1999,,168.4,,,,90.7631,82.1417,4.1,111.5
3/11/1999,5.27,,,,,,,,
10/11/1999,5.2,,,,,,,,
17/11/1999,5.44,,,,,,,,
24/11/1999,5.52,,,,,,,,
1/12/1999,5.63,168.8,,,,91.4926,82.5152,4,113.8
8/12/1999,5.45,,,,,,,,
15/12/1999,5.44,,,,,,,,
22/12/1999,5.46,,,,,,,,
29/12/1999,5.01,,,,,,,,
1/1/2000,,169.3,,,13878.147,91.4251,82.1714,4,115
5/1/2000,4.72,,,,,,,,
12/1/2000,5.62,,,,,,,,
19/1/2000,5.59,,,,,,,,
26/1/2000,5.43,,,,,,,,
1/2/2000,,170,,,,91.7357,82.1694,4.1,118.8
2/2/2000,5.66,,,,,,,,
9/2/2000,5.71,,,,,,,,
16/2/2000,5.75,,,,,,,,
23/2/2000,5.72,,,,,,,,
1/3/2000,5.77,171,,,,92.0933,82.2095,4,124.3
8/3/2000,5.73,,,,,,,,
15/3/2000,5.79,,,,,,,,
22/3/2000,5.81,,,,,,,,
29/3/2000,6.01,,,,,,,,
1/4/2000,,170.9,,,14130.908,92.6838,82.4575,3.8,120.9
5/4/2000,6.12,,,,,,,,
12/4/2000,5.98,,,,,,,,
19/4/2000,6.04,,,,,,,,
26/4/2000,5.97,,,,,,,,
1/5/2000,,171.2,,,,92.9376,82.4056,4,120
3/5/2000,6.06,,,,,,,,
10/5/2000,5.96,,,,,,,,
17/5/2000,6.16,,,,,,,,
24/5/2000,6.5,,,,,,,,
31/5/2000,6.53,,,,,,,,
1/6/2000,,172.2,,,,93.0076,82.192,4,126.8
7/6/2000,6.49,,,,,,,,
14/6/2000,6.5,,,,,,,,
21/6/2000,6.51,,,,,,,,
28/6/2000,6.53,,,,,,,,
1/7/2000,,172.7,,,14145.312,92.8458,81.7778,4,127.3
5/7/2000,6.85,,,,,,,,
12/7/2000,6.44,,,,,,,,
19/7/2000,6.5,,,,,,,,
26/7/2000,6.5,,,,,,,,
1/8/2000,,172.7,,,,92.5972,81.2898,4.1,123.8
2/8/2000,6.49,,,,,,,,
9/8/2000,6.45,,,,,,,,
16/8/2000,6.53,,,,,,,,
23/8/2000,6.46,,,,,,,,
30/8/2000,6.54,,,,,,,,
1/9/2000,,173.6,,,,92.9653,81.3435,3.9,129.2
6/9/2000,6.56,,,,,,,,
13/9/2000,6.5,,,,,,,,
20/9/2000,6.5,,,,,,,,
27/9/2000,6.5,,,,,,,,
1/10/2000,,173.9,,,14229.765,92.6418,80.7922,3.9,129.6
4/10/2000,6.58,,,,,,,,
11/10/2000,6.47,,,,,,,,
18/10/2000,6.49,,,,,,,,
25/10/2000,6.51,,,,,,,,
1/11/2000,6.55,174.2,,,,92.6618,80.541,3.9,129.2
8/11/2000,6.49,,,,,,,,
15/11/2000,6.52,,,,,,,,
22/11/2000,6.51,,,,,,,,
29/11/2000,6.5,,,,,,,,
1/12/2000,,174.6,,,,92.3459,80.0006,3.9,130.1
6/12/2000,6.57,,,,,,,,
13/12/2000,6.47,,,,,,,,
20/12/2000,6.53,,,,,,,,
27/12/2000,6.48,,,,,,,,
1/1/2001,,175.6,,,14183.12,91.8903,79.3437,4.2,135
3/1/2001,5.88,,,,,,,,
10/1/2001,5.91,,,,,,,,
17/1/2001,6.02,,,,,,,,
24/1/2001,5.96,,,,,,,,
31/1/2001,5.94,,,,,,,,
1/2/2001,,176,,,,91.2915,78.571,4.2,134.1
7/2/2001,5.51,,,,,,,,
14/2/2001,5.47,,,,,,,,
21/2/2001,5.5,,,,,,,,
28/2/2001,5.5,,,,,,,,
1/3/2001,,176.1,,,,91.0526,78.1158,4.3,131.7
7/3/2001,5.49,,,,,,,,
14/3/2001,5.46,,,,,,,,
21/3/2001,5.33,,,,,,,,
28/3/2001,5,,,,,,,,
1/4/2001,,176.4,,,14271.694,90.7293,77.5972,4.4,132.3
4/4/2001,5.21,,,,,,,,
11/4/2001,4.96,,,,,,,,
18/4/2001,4.98,,,,,,,,
25/4/2001,4.42,,,,,,,,
